Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1060699,-,-,-,25.77,-80.18,-5,0,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Fill Flag,Clearsky GHI,Clearsky DNI,Clearsky DHI,Temperature,Dew Point,Relative Humidity,Cloud Type,Solar Zenith Angle,Wind Direction,Wind Speed,Surface Albedo,Pressure
2003,1,1,0,0,0,0,0,0,0,0,0,24,22,96.85000000000001,4,173.88,158.5,8.200000000000001,0.082,1010.0
2003,1,1,0,30,0,0,0,0,0,0,0,24,22,96.82000000000001,4,176.94,158.5,8.1,0.082,1010.0
2003,1,1,1,0,0,0,0,0,0,0,0,24,22,92.76,7,171.36,163.70000000000002,8.1,0.082,1010.0
2003,1,1,1,30,0,0,0,0,0,0,0,24,22,92.72,4,164.74,163.70000000000002,8.1,0.082,1010.0
2003,1,1,2,0,0,0,0,0,0,0,0,24,23,94.19,8,158.01,166.70000000000002,8.200000000000001,0.082,1010.0
2003,1,1,2,30,0,0,0,0,0,0,0,24,23,94.15,7,151.26,166.70000000000002,8.200000000000001,0.082,1010.0
2003,1,1,3,0,0,0,0,0,0,0,0,24,23,95.33,6,144.51,167.8,8.3,0.082,1010.0
2003,1,1,3,30,0,0,0,0,0,0,0,24,23,95.31,6,137.79,167.8,8.200000000000001,0.082,1010.0
2003,1,1,4,0,0,0,0,0,0,0,0,24,23,96.13,6,131.1,170.9,8.1,0.082,1010.0
2003,1,1,4,30,0,0,0,0,0,0,0,24,23,96.14,8,124.45,170.9,7.9,0.082,1010.0
2003,1,1,5,0,0,0,0,0,0,0,0,24,23,96.72,7,117.86,176.60000000000002,7.7,0.082,1010.0
2003,1,1,5,30,0,0,0,0,0,0,0,24,23,96.73,7,111.33,176.60000000000002,7.5,0.082,1010.0
2003,1,1,6,0,0,0,0,0,0,0,0,24,23,97.21000000000001,7,104.89,182.20000000000002,7.300000000000001,0.082,1010.0
2003,1,1,6,30,0,0,0,0,0,0,0,24,23,97.24000000000001,6,98.55,182.20000000000002,7.1000000000000005,0.082,1010.0
2003,1,1,7,0,0,0,0,0,0,0,0,24,23,97.71000000000001,6,92.33,184.9,7.0,0.082,1010.0
2003,1,1,7,30,31,61,27,4,31,61,27,24,23,97.74000000000001,7,86.27,184.9,6.800000000000001,0.082,1010.0
2003,1,1,8,0,108,278,62,0,108,278,62,24,23,98.44,0,80.4,188.60000000000002,6.6000000000000005,0.082,1010.0
2003,1,1,8,30,199,432,85,0,199,432,85,24,23,98.47,0,74.77,188.60000000000002,6.6000000000000005,0.082,1010.0
