Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1060699,-,-,-,25.77,-80.18,-5,0,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Fill Flag,Clearsky GHI,Clearsky DNI,Clearsky DHI,Temperature,Dew Point,Relative Humidity,Cloud Type,Solar Zenith Angle,Wind Direction,Wind Speed,Surface Albedo,Pressure
2000,1,1,0,0,0,0,0,0,0,0,0,21,19,89.01,1,173.92000000000002,87.10000000000001,3.8000000000000003,0.089,1020.0
2000,1,1,0,30,0,0,0,0,0,0,0,21,19,88.99,1,176.95000000000002,87.10000000000001,3.8000000000000003,0.089,1020.0
2000,1,1,1,0,0,0,0,0,0,0,0,21,19,90.36,3,171.34,91.5,3.8000000000000003,0.089,1020.0
2000,1,1,1,30,0,0,0,0,0,0,0,21,19,90.34,1,164.72,91.5,3.7,0.089,1020.0
2000,1,1,2,0,0,0,0,0,0,0,0,21,19,91.31,1,157.99,93.7,3.7,0.089,1020.0
2000,1,1,2,30,0,0,0,0,0,0,0,21,19,91.3,1,151.24,93.7,3.6,0.089,1020.0
2000,1,1,3,0,0,0,0,0,0,0,0,21,19,91.83,1,144.49,93.30000000000001,3.6,0.089,1020.0
2000,1,1,3,30,0,0,0,0,0,0,0,21,19,91.83,0,137.77,93.30000000000001,3.5,0.089,1020.0
2000,1,1,4,0,0,0,0,0,0,0,0,21,19,92.01,1,131.08,90.7,3.4000000000000004,0.089,1020.0
2000,1,1,4,30,0,0,0,0,0,0,0,21,19,92.03,1,124.43,90.7,3.3000000000000003,0.089,1020.0
2000,1,1,5,0,0,0,0,0,0,0,0,21,19,92.09,1,117.84,86.80000000000001,3.3000000000000003,0.089,1020.0
2000,1,1,5,30,0,0,0,0,0,0,0,21,19,92.11,3,111.32000000000001,86.80000000000001,3.3000000000000003,0.089,1020.0
2000,1,1,6,0,0,0,0,0,0,0,0,21,19,92.27,3,104.87,83.5,3.4000000000000004,0.089,1020.0
2000,1,1,6,30,0,0,0,0,0,0,0,21,19,92.3,3,98.53,83.5,3.5,0.089,1020.0
2000,1,1,7,0,0,0,0,0,0,0,0,21,19,92.67,1,92.32000000000001,80.30000000000001,3.6,0.089,1020.0
2000,1,1,7,30,42,333,20,0,42,333,20,21,19,92.71000000000001,0,86.26,80.30000000000001,3.7,0.089,1020.0
2000,1,1,8,0,49,0,49,0,131,566,36,22,20,89.44,3,80.39,77.4,3.9000000000000004,0.089,1020.0
2000,1,1,8,30,80,0,80,0,230,695,47,22,20,89.47,3,74.76,77.4,4.0,0.089,1020.0
2000,1,1,9,0,248,336,129,0,326,775,54,23,20,84.44,2,69.43,76.3,4.2,0.089,1020.0
2000,1,1,9,30,417,829,59,0,417,829,59,23,20,84.45,0,64.47,76.3,4.2,0.089,1020.0
2000,1,1,10,0,497,867,64,0,497,867,64,23,20,84.64,0,59.97,76.0,4.3,0.089,1020.0
2000,1,1,10,30,566,894,66,0,566,894,66,23,20,84.63,0,56.06,76.0,4.3,0.089,1020.0
2000,1,1,11,0,620,912,69,0,620,912,69,23,20,84.8,1,52.86,75.9,4.4,0.089,1020.0
2000,1,1,11,30,658,925,70,0,658,925,70,23,20,84.76,1,50.51,75.9,4.3,0.089,1020.0
2000,1,1,12,0,681,931,71,0,681,931,71,23,20,84.83,1,49.13,76.2,4.3,0.089,1020.0
2000,1,1,12,30,686,933,71,0,686,933,71,23,20,84.78,0,48.800000000000004,76.2,4.3,0.089,1020.0
2000,1,1,13,0,675,929,71,0,675,929,71,23,20,84.77,0,49.54,76.4,4.3,0.089,1020.0
2000,1,1,13,30,646,921,70,0,646,921,70,23,20,84.75,0,51.32,76.4,4.2,0.089,1020.0
2000,1,1,14,0,408,232,271,0,602,906,69,23,20,84.74,2,54.01,75.4,4.2,0.089,1020.0
2000,1,1,14,30,542,885,66,0,542,885,66,23,20,84.74,0,57.5,75.4,4.2,0.089,1020.0
2000,1,1,15,0,469,854,63,0,469,854,63,23,20,84.83,0,61.660000000000004,72.8,4.2,0.089,1020.0
2000,1,1,15,30,384,810,59,0,384,810,59,23,20,84.84,0,66.34,72.8,4.2,0.089,1020.0
2000,1,1,16,0,290,744,53,0,290,744,53,23,20,84.99,0,71.46000000000001,69.7,4.2,0.089,1020.0
2000,1,1,16,30,191,646,45,0,191,646,45,22,20,90.32000000000001,0,76.91,69.7,4.1000000000000005,0.089,1020.0
2000,1,1,17,0,94,479,32,0,94,479,32,22,20,89.61,0,82.64,67.3,4.1000000000000005,0.089,1020.0
2000,1,1,17,30,16,169,12,0,16,169,12,22,20,89.63,0,88.59,67.3,4.1000000000000005,0.089,1020.0
2000,1,1,18,0,0,0,0,0,0,0,0,22,19,88.4,0,94.72,66.60000000000001,4.3,0.089,1020.0
2000,1,1,18,30,0,0,0,0,0,0,0,22,19,88.43,0,100.98,66.60000000000001,4.3,0.089,1020.0
2000,1,1,19,0,0,0,0,0,0,0,0,22,19,87.61,0,107.37,67.7,4.4,0.089,1020.0
2000,1,1,19,30,0,0,0,0,0,0,0,22,19,87.63,0,113.84,67.7,4.4,0.089,1020.0
2000,1,1,20,0,0,0,0,0,0,0,0,22,19,86.84,0,120.4,70.3,4.5,0.089,1020.0
2000,1,1,20,30,0,0,0,0,0,0,0,22,19,86.84,0,127.01,70.3,4.5,0.089,1020.0
2000,1,1,21,0,0,0,0,0,0,0,0,22,19,85.98,0,133.68,73.60000000000001,4.6000000000000005,0.089,1020.0
2000,1,1,21,30,0,0,0,0,0,0,0,22,19,85.97,0,140.38,73.60000000000001,4.6000000000000005,0.089,1020.0
2000,1,1,22,0,0,0,0,0,0,0,0,22,19,85.53,0,147.11,76.5,4.6000000000000005,0.089,1020.0
2000,1,1,22,30,0,0,0,0,0,0,0,22,19,85.5,0,153.86,76.5,4.6000000000000005,0.089,1020.0
2000,1,1,23,0,0,0,0,0,0,0,0,22,19,85.43,0,160.61,78.2,4.7,0.089,1020.0
2000,1,1,23,30,0,0,0,0,0,0,0,22,19,85.41,0,167.31,78.2,4.7,0.089,1020.0
2000,1,2,0,0,0,0,0,0,0,0,0,22,19,85.36,0,173.78,78.60000000000001,4.7,0.089,1020.0
2000,1,2,0,30,0,0,0,0,0,0,0,22,19,85.34,0,176.92000000000002,78.60000000000001,4.7,0.089,1020.0
2000,1,2,1,0,0,0,0,0,0,0,0,22,19,85.2,0,171.42000000000002,78.2,4.800000000000001,0.089,1020.0
2000,1,2,1,30,0,0,0,0,0,0,0,22,19,85.18,0,164.8,78.2,4.800000000000001,0.089,1020.0
2000,1,2,2,0,0,0,0,0,0,0,0,22,19,84.97,0,158.08,76.60000000000001,4.800000000000001,0.089,1020.0
