Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1060699,-,-,-,25.77,-80.18,-5,0,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Fill Flag,Clearsky GHI,Clearsky DNI,Clearsky DHI,Temperature,Dew Point,Relative Humidity,Cloud Type,Solar Zenith Angle,Wind Direction,Wind Speed,Surface Albedo,Pressure
2006,1,1,0,0,0,0,0,0,0,0,0,22,20,91.9,7,173.85,161.70000000000002,4.0,0.097,1010.0
2006,1,1,0,30,0,0,0,0,0,0,0,22,20,91.89,7,176.93,161.70000000000002,3.8000000000000003,0.097,1010.0
2006,1,1,1,0,0,0,0,0,0,0,0,22,20,91.64,7,171.38,162.20000000000002,3.7,0.097,1010.0
2006,1,1,1,30,0,0,0,0,0,0,0,22,20,91.63,7,164.76,162.20000000000002,3.5,0.097,1010.0
2006,1,1,2,0,0,0,0,0,0,0,0,22,20,91.41,7,158.03,161.3,3.4000000000000004,0.097,1010.0
2006,1,1,2,30,0,0,0,0,0,0,0,22,20,91.4,7,151.28,161.3,3.3000000000000003,0.097,1010.0
2006,1,1,3,0,0,0,0,0,0,0,0,22,20,91.32000000000001,7,144.54,156.9,3.2,0.097,1010.0
2006,1,1,3,30,0,0,0,0,0,0,0,22,20,91.33,0,137.81,156.9,3.1,0.097,1010.0
2006,1,1,4,0,0,0,0,0,0,0,0,22,20,91.48,0,131.12,155.4,3.0,0.097,1010.0
2006,1,1,4,30,0,0,0,0,0,0,0,22,20,91.5,0,124.47,155.4,2.8000000000000003,0.097,1010.0
2006,1,1,5,0,0,0,0,0,0,0,0,22,20,91.71000000000001,7,117.88,153.9,2.7,0.097,1010.0
2006,1,1,5,30,0,0,0,0,0,0,0,22,20,91.74,1,111.35000000000001,153.9,2.5,0.097,1010.0
2006,1,1,6,0,0,0,0,0,0,0,0,22,20,91.9,1,104.91,150.4,2.4000000000000004,0.097,1010.0
2006,1,1,6,30,0,0,0,0,0,0,0,22,20,91.93,1,98.57000000000001,150.4,2.3000000000000003,0.097,1010.0
2006,1,1,7,0,0,0,0,0,0,0,0,22,20,92.16,1,92.35000000000001,146.5,2.3000000000000003,0.097,1010.0
2006,1,1,7,30,36,174,24,0,36,174,24,22,20,92.19,0,86.28,146.5,2.3000000000000003,0.097,1010.0
2006,1,1,8,0,50,0,50,0,118,401,51,23,21,88.62,4,80.41,143.0,2.3000000000000003,0.097,1010.0
2006,1,1,8,30,163,249,98,0,212,546,69,23,21,88.64,8,74.78,143.0,2.5,0.097,1010.0
2006,1,1,9,0,259,390,122,0,307,641,82,23,21,89.13,8,69.44,142.6,2.7,0.097,1020.0
2006,1,1,9,30,307,311,172,0,396,707,91,23,21,89.13,7,64.47,142.6,2.7,0.097,1020.0
2006,1,1,10,0,361,298,212,0,474,751,99,23,21,89.04,7,59.97,148.1,2.8000000000000003,0.097,1020.0
2006,1,1,10,30,440,381,227,0,542,783,104,23,21,89.01,7,56.050000000000004,148.1,2.8000000000000003,0.097,1020.0
2006,1,1,11,0,549,616,177,0,595,805,108,23,21,88.54,7,52.85,152.70000000000002,2.9000000000000004,0.097,1010.0
2006,1,1,11,30,482,302,289,0,633,820,111,23,20,88.5,2,50.480000000000004,152.70000000000002,2.9000000000000004,0.097,1010.0
2006,1,1,12,0,572,506,240,0,654,825,113,24,20,82.98,2,49.09,153.20000000000002,3.0,0.097,1010.0
2006,1,1,12,30,580,521,236,0,659,826,114,24,20,82.95,2,48.75,153.20000000000002,3.0,0.097,1010.0
2006,1,1,13,0,523,371,281,0,644,807,119,24,20,82.60000000000001,2,49.49,154.70000000000002,3.0,0.097,1010.0
2006,1,1,13,30,568,601,192,0,615,795,117,24,20,82.60000000000001,7,51.25,154.70000000000002,3.0,0.097,1010.0
2006,1,1,14,0,497,467,222,0,569,767,117,24,20,82.19,8,53.95,155.5,3.0,0.097,1010.0
2006,1,1,14,30,406,333,227,0,510,738,112,24,20,82.19,2,57.44,155.5,2.9000000000000004,0.097,1010.0
2006,1,1,15,0,437,694,107,0,437,694,107,24,20,82.10000000000001,1,61.58,151.70000000000002,2.8000000000000003,0.097,1010.0
2006,1,1,15,30,308,412,142,0,355,639,98,23,20,87.2,8,66.27,151.70000000000002,2.7,0.097,1010.0
